Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Fair,,Ingroup,Ingroup,52,14,728,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Fair,,Ingroup,Outgroup,52,14,728,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Fair,,Outgroup,Ingroup,52,14,728,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Fair,,Outgroup,Ingroup,52,14,728,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Unfair,,Ingroup,Ingroup,52,15,780,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Unfair,,Ingroup,Outgroup,52,15,780,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Unfair,,Outgroup,Ingroup,52,15,780,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Unfair,,Outgroup,Ingroup,52,15,780,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Neutral,,Ingroup,Ingroup,52,1,52,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Neutral,,Ingroup,Outgroup,52,1,52,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Neutral,,Outgroup,Ingroup,52,1,52,,,,,,,,,,,,
10,Third-party punishment: altruistic and anti-social behaviours in in-group and out-group settings,1,Lab,Natural ,Nationality,Italian vs. Chinese,52,Undergraduates,0,52,22.58,1.89,Italian and Chinese,Italy,Dictator game ,"In a Dictator Game two players interact: player A, the dictator and player B,the receiver. Player A has an initial endowment of points (20 points), that he can share (or not) withPlayer B, whose role is passive. Player C observes the Dictator Game and he can use part or all of his endowment (4 points) to punish Player A’s behaviour.",Deception,No,No,No,1,20,0,Punish Only,4,0,4,2.5,NA,NA,NA,Token,Not Reported (Up to 20 Euros in total for 120 trials and a maximum of 480 tokens),Euro,Yes,Within,Yes,Within,Yes,Within,"Fair: 8-10
Unfair: 0-6
Neutral: 7",NA,NA,,,,Neutral,,Outgroup,Ingroup,52,1,52,,,,,,,,,,,,
11,"Effect of cognitive empathy on group preference in third-party
punishment among senior primary school children",1a,Lab,Natural,School Affiliation,They showed pictures of different schools to the participants,320,Primary School Students,164,156,10.77,0.46,Chinese,China,Dictator Game,Dictator received 100 coins and kept 90,Deception,Not Reported,Not Reported,Not Reported,1,100,0,Punish Only,30,0,30,3,NA,NA,NA,Token,Not Specified (they could exchange for stationeries),NA,Yes,Within,No,NA,No,NA,NA,No,NA,,,,,,Ingroup,Neutral,320,1,320,,,,,,,,,,,,
,,1a,Lab,Natural,School Affiliation,They showed pictures of different schools to the participants,320,Primary School Students,164,156,10.77,0.46,Chinese,China,Dictator Game,Dictator received 100 coins and kept 90,Deception,Not Reported,Not Reported,Not Reported,1,100,0,Punish Only,30,0,30,3,NA,NA,NA,Token,Not Specified (they could exchange for stationeries),NA,Yes,Within,No,NA,No,NA,NA,No,NA,,,,,,Outgroup,Neutral,320,1,320,,,,,,,,,,,,
,,1a,Lab,Natural,School Affiliation,They showed pictures of different schools to the participants,320,Primary School Students,164,156,10.77,0.46,Chinese,China,Dictator Game,Dictator received 100 coins and kept 90,Deception,Not Reported,Not Reported,Not Reported,1,100,0,Punish Only,30,0,30,3,NA,NA,NA,Token,Not Specified (they could exchange for stationeries),NA,Yes,Within,No,NA,No,NA,NA,No,NA,,,,,,Neutral,Ingroup,320,1,320,,,,,,,,,,,,
,,1a,Lab,Natural,School Affiliation,They showed pictures of different schools to the participants,320,Primary School Students,164,156,10.77,0.46,Chinese,China,Dictator Game,Dictator received 100 coins and kept 90,Deception,Not Reported,Not Reported,Not Reported,1,100,0,Punish Only,30,0,30,3,NA,NA,NA,Token,Not Specified (they could exchange for stationeries),NA,Yes,Within,No,NA,No,NA,NA,No,NA,,,,,,Neutral,Outgroup,320,1,320,,,,,,,,,,,,
12,How intergroup relation moderates group bias in Third-Party Punishment,1,Lab,Experimental ,Colour preferance ,"""Participants chose their preferred color (blue or yellow) and were assigned to that team. They built group identity through wearing colored bracelets, introductions, naming the team, designing a team logo and flag. Intergroup relation was manipulated through the use of an arithmetic problem task:
Competition condition: Teams competed; winners earned a team bonus.
Cooperation condition: Teams solved problems jointly for a shared bonus.""",76,University students ,32,44,20.76,2.28,Chinese,China,Dictator Game,"It was based on the dictator game, wherein an allocator alone determines how to allocate the windfall, and the recipient can only accept the allocator's decision. After the allocator's distribution, a third-party observer (the participant) decides whether and how much to punish the allocator",Deception ,Not Reported,No,Yes,1,3,0,Punish Only,1.5,0,1,3,NA,NA,NA,Currency,?,CNY,Yes,Within,No,NA,Yes,Within,Fair: 1.5,No,NA,Perceived Intergroup Relationship,Between,Cooperative,Fair,,Ingroup,Ingroup,40,3,120,NA,NA,0.02,0.08,,,,,,,,
